artist,song,lyrics
Taylor Swift,bettedaviseyes,"Her hair is Harlow gold Her lips are sweet surprise Her hands are never cold She got Bette Davis eyes  She'll turn her music on You won't have to think twice She's pure as New York snow She got Bette Davis eyes  And she'll tease you, she'll unease you All the better just to please you She's precocious and she knows just What it takes to make a pro blush  She got Greta Garbo standoff sighs She got Bette Davis eyes  She'll let you take her home It whets her appetite She'll lay you on her throne She got Bette Davis eyes  She'll take a tumble on you Roll you like you were dice Until you come out blue She's got Bette Davis eyes  She'll expose you when she blows you Off your feet with the crumbs she throws you She's ferocious and she knows just What it takes to make a pro blush  All the boys think she's a spy She's got Bette Davis eyes  And she'll tease you, she'll unease you All the better just to please you She's ferocious, and she knows just What it takes to make a pro blush  All the boys think she's a spy She's got Bette Davis eyes  She's got Bette Davis eyes"
Taylor Swift,teardropsonmyguitar,"Drew looks at me I fake a smile so he won't see What I want and I need And everything that we should be  I'll bet she's beautiful That girl he talks about And she's got everything That I have to live without  Drew talks to me I laugh 'cause it's so damn funny But I can't even see Anyone when he's with me  He says he's so in love He's finally got it right I wonder if he knows He's all I think about at night  He's the reason for the teardrops on my guitar The only thing that keeps me wishing on a wishing star He's the song in the car I keep singing Don't know why I do  Drew walks by me Can he tell that I can't breathe? And there he goes, so perfectly The kind of flawless I wish I could be  She better hold him tight Give him all her love Look in those beautiful eyes And know she's lucky 'cause  He's the reason for the teardrops on my guitar The only thing that keeps me wishing on a wishing star He's the song in the car I keep singing Don't know why I do  So I drive home alone As I turn out the light I'll put his picture down And maybe get some sleep tonight  'Cuz he's the reason for the teardrops on my guitar The only one who's got enough of me to break my heart He's the song in the car I keep singing Don't know why I do  He's the time taken up but there's never enough And he's all that I need to fall into Drew looks at me I fake a smile so he won't see"
Incubus,adolescents,"I'm feeling out of bounds, out of bounds* I'm running out of time, out of time I know there's no such thing as either of them But it's doesn't make me feel any better.  Out of sight, out of mind Out of sight, out of mind We're out of time We're out of mind Out of mind Out of mind Yeah, yeah  I'm feeling overwhelmed, overwhelmed It's getting out of line, line, line, line I know I'm not alone Just adolescents, you and I It doesn't make me feel any better  Out of sight, out of mind Out of sight, out of mind We're out of time We're out of mind Out of mind Out of mind Yeah, (yeah) yeah  out of sight, out of mind out of sight, out of mind we're out of time we're out of mind out of mind out of mind we're out of mind yeah"
Incubus,psychopsilocybin,"Psychopsilocybin runnin', horny mother fucker Trippin' on his shoelace searchin' for the hairy sucker He don't need no funny money, his love is all his power Half-naked and full witted and two weeks less a shower  Psilocybin, mother fucker Psilocybin, oh Psychopsilocybin  Psychopsilocybin  Psychopsilocybin  You'll see me, I'll be there, with my nose in the grass One for me, one for you, two for me, one for you Three for me, one for you End of the sack now, the fungi's they are in bloom, yeah  Go, go Yeah, oh yeah oh wow All the colors, yeah wow wow wow yeah Go, go  Psychopsilocybin runnin' horny mother fucker Trippin' on his shoelace, searchin' for the hairy sucker He don't need no funny money, his love is all his power Half-naked and full witted and two weeks less a shower  He's a psychopsilocybin runnin' horny mother fucker  Go, go Yeah, oh yeah oh wow All the colors, yeah wow wow wow yeah  Psychopsilocybin  Psychopsilocybin  Psychopsilocybin"
Incubus,pistola,"On the tip of my tongue An offensive is poised and rearing My intention a bullet My body a trigger finger  Yeah, my pen is a Pistola I don't need to fear, fear you Yeah, my pen is a Pistola  My secret arsenal Is an infinite ageless ink, well It's a fountain of youth And a patriot's weapon of choice  Yeah, my pen is a Pistola I don't need to fear, fear you Yeah, my pen is a Pistola  On the tip of my tongue An offensive is poised and rearing My intention a bullet My body a trigger finger  Yeah, my pen is a Pistola I don't need to fear you Yeah, my pen is a Pistola"
Incubus,favoritethings,"I'm thinking of my soul's sovereignty Yet I know, everything you hate in me Fill me up with over-pious badgerings Throw them up one of my favorite things  Too bad the things that make you mad Are my favorite things, my favorite things  Remember all the lessons fed to me Me the young sponge, so ready to agree Years have gone, recognize the walking dead Now aware that I'm alive and way ahead  Too bad the things that make you mad Are my favorite things, hey yeah Oh yeah I'm so happy  I see you looking, I know that you're thinking That I'll never go anywhere Things that I've promised and the things that I've seen I don't really expect you to care, no  Too bad the things that make you mad Are my favorite things, hey yeah Oh yeah and I'm so happy  Too bad the things that make you mad Are my favorite Too bad the things that make you mad Are my favorite things"
Incubus,medium,"Medium, medium Medium, medium Medium, medium Medium, medium Medium, medium Medium, medium Medium, medium Medium, medium  Waking up I smell the scent of coffee on the brew And I think about the amount of the sweet I'd like to have in my cup today One for the two lump, three lump, four No half of one, no less no more Just give me a chance, let me make it mine I'd like a medium blend of that piece of pie  Not too bitter, not too sweet Medium Just enough to start a beat Medium Not too bitter, not too sweet Medium Just enough to start a beat Medium  Dinner time just rolls around And I think I crave a steak but I'm not too partial to the meat When it's cooked too long and I'm made to wait Not too much of the parsony And just enough of the spice I think I'd enjoy a medium-rare dish with a side of fries  Not too tender, not too tough Medium Not too little, just enough Medium Not too tender, not too tough Medium Not too little, just enough Medium  Come Thurs. Morn' I smell the pits But hey, it aint that bad I, could of sworn I bathed last week And scrubbed like a good lad I like to stink just a little bit Just to keep you on your toes Yes, The more I stink the more I think That you smell like a rose  Not too pleasant, not too bad Medium Just enough to irk my dad Medium  Not too bitter, not too sweet Medium Just enough to start a beat Medium Not too bitter, not too sweet Medium Just enough to start a beat Medium  Medium. Medium. Medium. Medium. Medium"
Taylor Swift,speaknow,"I am not the kind of girl Who should be rudely barging in on a white veil occasion But you are not the kind of boy Who should be marrying the wrong girl  I sneak in and see your friends And her snotty little family all dressed in pastel And she is yelling at a bridesmaid Somewhere back inside a room Wearing a gown shaped like a pastry  This is surely not what you thought it would be I loose myself in a daydream Where I stand and say  Don't say ""Yes"", run away now I'll meet you when you're out of the church at the back door Don't wait or say a single vow You need to hear me out And they said, ""Speak now""  Fond gestures are exchanged And the organ starts to play a song That sounds like a death march And I am hiding in the curtains It seems that I was uninvited by your lovely bride-to-be  She floats down the aisle like a pageant queen But I know you wish it was me You wish it was me  Don't you? Don't say ""Yes"", run away now I'll meet you when you're out of the church at the back door Don't wait or say a single vow You need to hear me out  And they said, ""Speak now"" Don't say ""Yes"", run away now I'll meet you when you're out of the church at the back door Don't wait or say a single vow Your time is running out  And they said, ""Speak now"" Ooh, ooh Say a single vow  I hear the preacher say, ""Speak now or forever hold your peace"" There's the silence There's my last chance I stand up with shaky hands  All eyes on me Horrified looks from everyone in the room But I'm only looking at you I am not the kind of girl  Who should be rudely barging in on a white veil occasion But you are not the kind of boy Who should be marrying the wrong girl Don't say ""Yes"", run away now I'll meet you when you're out of the church at the back door Don't wait or say a single vow You need to hear me out And they said, ""Speak now"" And you'll say, ""Let's run away now I'll meet you when I'm out of my tux at the back door"" Baby, I didn't say my vows So glad you were around When they said, ""Speak now'"""
Incubus,warning,"Bat your eyes girl, be otherworldly Count your blessings, seduce a stranger What's so wrong with being happy? Kudos to those who see through sickness, yeah Over and over and over and over and ooh  She woke in the morning She knew that her life had passed her by And she called out a warning ""Don't ever let life pass you by""  I suggest we learn to love ourselves Before it's made illegal When will we learn? When will we change? Just in time to see it all come down Those left standing will make millions Writing books on the way it should have been  She woke in the morning She knew that her life had passed her by And she called out a warning, warning ""Don't ever let life pass you by""  Floating in this cosmic jacuzzi We are like frogs, oblivious To the water starting to boil No one flinches, we all float face down  When she woke in the morning She knew that her life had passed her by And she called out a warning, warning ""Don't ever let life pass you by"" Pass you by, oh, oh, oh"
Taylor Swift,badblood,"Cause baby now we got bad blood You know it used to be mad love So take a look at what you've done Cause baby now we got bad blood  Hey! Now we got problems And I don't think we can solve them You made a really deep cut And baby now we got bad blood  Hey!  Did you have to do this? I was thinking that you could be trusted Did you have to ruin what was shining now it's all rusted Did you have to hit me? where I'm weak baby I couldn't breathe I rubbed it in so deep Salt in the wound like you're laughing right at me Oh, it's so sad to think about the good times You and I  Cause baby now we got bad blood You know it used to be mad love So take a look at what you've done Cause baby now we got bad blood  Hey! Now we got problems And I don't think we can solve them You made a really deep cut And baby now we got bad blood Hey!  Did you think we'd be fine? Still got scars on my back from your knife So don't think it's in the past These kind of wounds they last and they last Now did you think it all through? All these things will catch up to you And time can heal but this won't So if you come in my way, just don't Oh, it's so sad to think about the good times You and I  Cause baby now we got bad blood You know it used to be mad love So take a look at what you've done Cause baby now we got bad blood  Hey! Now we got problems And I don't think we can solve them You made a really deep cut And baby now we got bad blood Hey!  Band-aids don't fix bullet holes You say sorry just to show You live like that, you live with ghosts Band-aids don't fix bullet holes You say sorry just to show You live like that, you live with ghosts If you love like that blood runs bad  Cause baby now we got bad blood You know it used to be mad love So take a look at what you've done Cause baby now we got bad blood  Hey! Now we got problems And I don't think we can solve them You made a really deep cut And baby now we got bad blood  Cause now we got bad blood You know it used to be mad love So take a look at what you've done Cause baby now we got bad blood Now we got problems And I don't think we can solve them You made a really deep cut And baby now we got bad blood"
Taylor Swift,perfectlygoodheart,"I might never be your knight in shining armour I might never be the one to take home to mother and I might never be the one who brings you flowers But I can be the one, be the one tonight When I first saw you, from across the room  I could tell that you were curious, oh yeah Girl I hope you're sure, what you're looking for As I'm not good at making promises But if you like causing trouble up in hotel rooms If you like having secret little rendezvouz  If you like to do the things you know that we shouldn't do Baby I'm perfect, baby I'm perfect for you And if you like midnight driving with the windows down If you like going places we can't even pronounce And if you like to do whatever you've been dreaming about  Baby I'm perfect, baby I'm perfect So let's start right now  I might never be the hands you put your heart in Or the arms that hold you any time you want it That don't mean we can't live here in the moment Cause I can be the one you love from time to time When I first saw you, from across the room  I could tell that you were curious, oh yeah Girl I hope you're sure, what you're looking for As I'm not good at making promises But if you like causing trouble up in hotel rooms If you like having secret little rendezvouz If you like to do the things you know that we shouldn't do Baby I'm perfect, baby I'm perfect for you And if you like midnight driving with the windows down If you like going places we can't even pronounce And if you like to do whatever you've been dreaming about Baby I'm perfect, baby I'm perfect So let's start right now And if you like camera flashing every time we go out, oh yeah If you're looking for someone to write your break up songs about Baby I'm perfect Baby we're perfect If you like causing trouble up in hotel rooms And if you like having secret little rendezvous If you like to do the things you know that we shouldn't do Baby I'm perfect, baby I'm perfect for you And if you like midnight driving with the windows down If you like going places we can't even pronounce And if you like to do whatever you've been dreaming about Baby you're perfect, baby you're perfect So let's start right now"
Taylor Swift,yougotitallwrong,"You wanna dance you really wanna let it go You want it bad but this time they told you to go You want it  You try it fast when you really should do it slow You got it bad and it's time I told you no You're on it  Bad it's true, but I don't wanna know What you had or you did So just let it go  Oh no!  You wanna laugh and you really wanna let them know You're so relaxed and you really gonna let it show You want it  Do you recall when we were two of a kind But you chose your way, and I chose mine You're on it  Bad it's true, but I don't wanna know What you had or you did So just let it go  Oh no! Remote controlled but you got it all Oh no! You stand ten feet tall, cause you got it all Oh no! Remote controlled but you got it all and you got it all But you got it all wrong!  We had a laugh, but it turned into a cough We got along but now I wanna get off You're on it  I was a kid when I did what you do I put a lid on and thought that's it, I'm through You're on it  Bad it's true, but I don't wanna know What you had or you did So just let it go  Oh no! Remote controlled but you got it all Oh no! You stand ten feet tall, cause you got it all Oh no! Remote controlled but you got it all Oh no! You stand ten feet tall, cause you got it all  Oh no!  And when I say you lose it, you don't believe it at all Oh no! It's such a long way to fall, the writings on the wall Oh no! But when I said you'd lose it, I can't even recall Oh no! If it was the best of all your brain a bit too small Because you got it all, you got it all, you got it all But you got it all wrong!"
Incubus,echo,"There's something about the look in your eyes Something I noticed when the light was just right Oh , it reminded me twice that I was alive And it reminded me that you're so worth the fight, ooh yeah  My biggest fear will be the rescue of me Strange how it turns out that way, yeah  Could you show me dear, something I've not seen Something infinitely interesting? Could you show me dear, something I've not seen Something infinitely interesting? Oh  Theres something about the way you move I see your mouth in slow motion when you sing More subtle than something someone contrives Your movements echo that I have seen the real thing, ooh yeah  Your biggest fear will be the rescue of you Strange how it turns out that way, yeah  Could you show me dear, something I've not seen Something infinitely interesting? Could you show me dear, something I've not seen Something infinitely interesting?"
Taylor Swift,theoutside,"I didn't know what I would find When I went lookin' for a reason I know I didn't read between the lines And baby I've got nowhere to go  I tried to take the road less traveled by But nothing seems to work the first few times, am I right?  So, how can I ever try to be better? Nobody ever let's me in And I can still see you, this ain't the best view On the outside looking in I've been a lot of lonely places I've never been on the outside  You saw me there but never knew That I would give it all up to be A part of this, a part of you And now it's all too late so you see  You could have helped if you had wanted to But no one notices until it's too late to do anything  How can I ever try to be better? Nobody ever let's me in And I can still see you, this ain't the best view On the outside looking in I've been a lot of lonely places I've never been on the outside ... How can I ever try to be better? Nobody ever let's me in And I can still see you, this ain't the best view On the outside looking in I've been a lot of lonely places I've never been on the outside Oh oh oh"
Taylor Swift,iknowplaces,"Uh-uh-uh-oh, oh-oh-oh-i Oh-oh-oh, oh-oh-oh-i Oh-oh-oh-oh, oh-oh-oh-i-i-i  Na na na na waiting at the back door They're around and the vultures come around And you know that they they won't us Say what they want 'bout, say what they want 'bout us And you come and sing and I would not think about it but I'm not done Every know that a thing or two about it, thing or two about it, I  Cause they got the cages, they got the boxes And guns They are the hunters we are the foxes And we run  Baby, I know places we won't be found And they'll be chasing their tails trying to track us down Cause I, I know places we can hide I know places, I know places  Uh-uh-uh-i, uh-uh-uh-i, oh-oh-i, uh-uh-uh-i, no places"
Incubus,looka,"The hardest thing is rendering A moment moving too fast to endure But you abide and smile wide 'Cause I want to remember this for sure  You can give me guns and politics and I'll just make a mess of it, ya know Give me all the sustenance and the Wiser, wider part of me will show, yeah, yeah, yeah  A picture says with sight what we can't say with words But you've been walking eyes to feet in dark sunglasses A picture will survive so smile and look alive The camera lens is opening, the wider angle's yours  Yeah, every empty one of us have methods To quell the madness of this pace But yours have led and running south like Jealous storm has carried down your face  You could take that wait and all that fuss so Now just get the best of us, ya know Give me love not suicide and the wise Wider part of me will show, yeah, yeah  A picture says with sight what we can't say with words But you've been walking eyes to feet in dark sunglasses A picture will survive so smile and look alive The camera lens is opening, the wider angle's yours  Look alive, smile Smile and look alive Smile, smile and look alive, yeah, woah, ohh  A picture says with sight what we can't say with words But you've been walking eyes to feet in dark sunglasses A picture will survive so smile and look alive The camera lens is opening, the wider angle's yours  A picture says with sight what we can't say with words But you've been walking eyes to feet in dark sunglasses A picture will survive so smile and look alive The camera lens is opening, the wider angle's yours The camera lens is opening, the wider angle's yours  Look alive Smile, smile and look alive Yeah, smile and look alive Yeah, woah"
Incubus,nicetoknowyou,"Better than watching Geller bending silver spoons Better than witnessing newborn nebulas in bloom She who sees from up high smiles and surely sings Prospective pries your once weighty eyes and it gives you wings  I haven't felt the way I feel today In so long it's hard for me to specify I'm beginning to notice How much this feels like a waking limb Pins and needles, nice to know you  Goodbye! Nice to know you! Goodbye! Nice to know you! Goodbye! Nice to know you! Goodbye! Nice to know you! To know, you  Deeper than the deepest Cousteau would ever go And higher than the heights of what we often think we know Blessed she who clearly sees the wood for the trees To obtain a bird's eye is to turn a blizzard to a breeze  I haven't felt the way I feel today In so long it's hard for me to specify I'm beginning to notice How much this feels like a waking limb Pins and needles, nice to know you  Goodbye! Nice to know you! Goodbye! Nice to know you! Goodbye! Nice to know you! Goodbye! Nice to know you! To know, you  But could it be that it had been there all along?  I haven't felt the way I feel today In so long it's hard for me to specify I'm beginning to notice How much this feels like a waking limb Pins and needles, nice to know you  Goodbye! Nice to know you! Goodbye! Nice to know you! Goodbye! Nice to know you! Goodbye! Nice to know you! To know, you"
Incubus,makeoutparty,"Girl I wanna kiss you But not just on your lips, no Tips of your fingers and every intersection Start again then at your pinky toe I know you know  Can you tell I miss you? From my cadence and tempo Lips are a trigger, and maybe this connection Is a point we should be aiming for  Could we make up? Could we make out? Could we make up? Could we make out?  I get high every time I get the taste of you on my tongue And I know you’re one to hold on to Oh, a deep sigh everytime I get a hint of you in my mind Cause I know you won’t be held onto  Babe, I’ve got a weakness for the backs of your knees, your Honey spilt over, and now I am an army of ants And we’re all thinkin’ the same thought, “Let’s get to work.” Let me introduce you to my slippery fingers Glistening and dangerous I'll use them all in ways That would make you giggle at my funeral  Whoaah, I get high every time I get the taste of you on my tongue And I know you’re one to hold on to Oh, a deep sigh every time I get a hint of you in my mind Cause I know you won’t be held onto  Could we make up? Could we make out? Could we make up? Could we make out?  Can you tell I miss you? From my cadence and tempo Lips are a trigger, and maybe this connection Is a point we should be aiming for"
Incubus,throwoutthemap,I want to lose my mind I want to shed my skin Dive in the deep end head first A brick in a river Under the pale blue lines Look at the big sky spin I'm holding out 'til I see heaven and hell  Where? Where do we go from here? Where? Where? Where do we go from here?  Throw out the map! Don't look back! Throw out the maaap! Yeaaahh!  ...Yeah...  Am I alone down here? Under the pale blue lines Was that an offer or was that just an echo? I want a new design I need to shed my skin Where do we go from here man?  Where do we go from here? Where? Where? Where do we go from here?  Throw out the map! Don't look back! Throw out the maaap! Yeaaahh!  Throw out the map! Don't look back! Throw out the maaap! Yeaaahh!  Yeah... Oh...  I want to lose my mind...  Throw out the map! Don't look back! Throw out the maaap! Yeaaahh!  Throw out the map! Don't look back! Throw out the maaap! Yeaaahh!
Taylor Swift,aperfectlygoodheart,"Why would you wanna break a perfectly good heart? Why would you wanna take our love and tear it all apart, now? Why would you wanna make the very first scar? Why would you wanna break a perfectly good heart?   Maybe I should've seen the signs, should've read the writing on the wall And realized by the distance in your eyes that I would be the one to fall No matter what you say, I still can't believe That you would walk away It don't make sense to me, but   Why would you wanna break a perfectly good heart? Why would you wanna take our love and tear it all apart,now? Why would you wanna make the very first scar? Why would you wanna break a perfectly good heart?   It's not unbroken anymore How do I get it back the way it was before?   Why would you wanna break a perfectly good heart? Why would you wanna take our love and tear it all apart, now? Why would you wanna make the very first scar? Why would you wanna break a perfectly good heart? Why would you wanna break a perfectly good heart? Why would you wanna take our love and tear it all apart, now? Why would you wanna make the very first scar? Why would you wanna break a perfectly good heart?"
Incubus,purplekoolaid,"Woke up I wiped the sleepers from my eye Looked up to see ??? ??? ??? ??? ??? ??? ??? ??? ??? too Up in the ??? ??? ??? with you They call themselves the purple kool-aid cult They lost their head and claim it's all my fault I'm fed koolaid intravenously I must regain my own autonomy!  The purple kool-aid cult is back, I'm paranoid again Would someone please appease all the stress of my  Sorry friend, there's no way I can stay Wish I could explain the reason why I'm being chased so please pardon my haste Please appease the stress of my brown head  They turned their backs and I began to run Looked back for a flash and I began to shout I've got to find a passage out of here I'm not too certain that the future's clear And now I'm alone and to what type too wear And then they set upon a skinny chair They're gathering now around a sugar throne It's red and round and speaks of miracles  The purple kool-aid cult is back, I'm paranoid again Would someone please appease all the stress of my  He says ??? ??? ??? him Weird ritual for you and I to mate I see a door ??? ??? I see astray I pick up a furious pace so I can get away Don't smile a purple pleasure hangs the cape Oh Me, Oh My, It was the great escape The situation, it's still to me a bit of a scandal Every time I see a purple smile within my underwear  The purple kool-aid cult is back, I'm paranoid again Would someone please appease all the stress of my  Sorry friend, there's no way I can stay Wish I could explain the reason why I'm being chased so please pardon my haste Please appease the stress of my brown head  Four years and as many days float on by ??? carry out that silicone ?? atacious?? left behind I'm going next door to celebrate I say ??? purple ??? koolaid ??? is the punch that's got me drunk today  Next thing I know I'm standing on a chair whipping my arms around the friendly air I preached the words around a year ago i now surrender to the certain glow?  The purple kool-aid cult is back, I'm paranoid again Would someone please appease all the stress of my  Sorry friend, there's no way I can stay Wish I could explain the reason why I'm being chased so please pardon my haste Please appease the stress of my brown head  Ohhohohohohoh!  I'm being... I'm being chased by seven kids high on kool-aid But then they're not crazy cause they're high on kool-aid But then they're not crazy they're just high on kool-aid"
Incubus,anything,"I met the day, feeling cheaper than usual I guess you could say that I'm on sale So take what you can while you can Shop now intensive I could snap at any moment And I might feel more expensive, oh  I don't owe anything to you, I don't owe anything to you You don't you know me half as well as you think you do I don't owe anything, anything to you  I met the mirror, price tag hanging from my ear And in that moment I went unfazed So take what you can while you can Less conscience slowly amazed more gold I could snap at any moment And remember that I was not born to be sold  I don't owe anything to you, I don't owe anything to you You don't you know me half as well as you think you do I don't owe anything, anything to you  I don't owe anything to you, I don't owe anything to you You don't you know me half as well as you think you do I don't owe anything, anything to you"
Taylor Swift,bytheway,"I had to catch my breath As I saw you there across the room Holding her hand  And I'd never guess Starting over looked so good on you But here I am  Still believing there might come a day Where we'll pick up where we left of  And by the way Your eyes are dancing I'd say the chances of that are getting slim And by the way You look amazing And I must've been crazy for letting you get away There are many things I forgot to say By the way  I should've let you know All the ways you made me feel like Like it's getting too late  So I'll just get my coat And make my way into this crazy life Give me one last break  Maybe you'll stop what you're doing Come over here and say I'm looking good  And by the way Your eyes are dancing I'd say the chances of that are getting slim And by the way You look amazing And I must've been crazy for letting you get away And by the way I've got the same old number If you ever wondered, just in case There are many things I forgot to say I still miss you I still love you By the way  Oh-oh  And by the way"
Taylor Swift,lookwhatyoumademedo,"I don't like your little games Don't like your tilted stage The role you made me play Of the fool, no, I don't like you I don't like your perfect crime How you laugh when you lie You said the gun was mine Isn't cool, no, I don't like you (oh!)  But I got smarter, I got harder in the nick of time Honey, I rose up from the dead, I do it all the time I've got a list of names and yours is in red, underlined I check it once, then I check it twice, oh!  Ooh, look what you made me do Look what you made me do Look what you just made me do Look what you just made me Ooh, look what you made me do Look what you made me do Look what you just made me do Look what you just made me do  I don't like your kingdom keys They once belonged to me You ask me for a place to sleep Locked me out and threw a feast (what?) The world moves on, another day, another drama, drama But not for me, not for me, all I think about is karma And then the world moves on, but one thing's for sure Maybe I got mine, but you'll all get yours  But I got smarter, I got harder in the nick of time Honey, I rose up from the dead, I do it all the time I've got a list of names and yours is in red, underlined I check it once, then I check it twice, oh! Ooh, look what you made me do Look what you made me do Look what you just made me do Look what you just made me Ooh, look what you made me do Look what you made me do Look what you just made me do Look what you just made me do  I don't trust nobody and nobody trusts me I'll be the actress starring in your bad dreams I don't trust nobody and nobody trusts me I'll be the actress starring in your bad dreams I don't trust nobody and nobody trusts me I'll be the actress starring in your bad dreams I don't trust nobody and nobody trusts me I'll be the actress starring in your bad dreams (Look what you made me do) (Look what you made me do) ""I'm sorry, the old Taylor can't come to the phone right now."" ""Why?"" ""Oh, 'cause she's dead!"" (ohh!)  Ooh, look what you made me do Look what you made me do Look what you just made me do Look what you just made me Ooh, look what you made me do Look what you made me do Look what you just made me do Look what you just made me do"
Taylor Swift,yourguardianangel,"When I see your smile Tears run down my face I can't replace And now that I'm stronger I've figured out How this world turns cold and breaks through my soul And I know I'll find deep inside me I can be the one  I will never let you fall I'll stand up with you forever I'll be there for you through it all Even if saving you sends me to heaven  It's ok. It's ok. It's ok. Seasons are changing And waves are crashing And stars are falling all for us Days grow longer and nights grow shorter I can show you I'll be the one  I will never let you fall I'll stand up with you forever I'll be there for you through it all Even if saving you sends me to heaven  Cuz you're my, you're my, my true love, my whole heart Please don't throw that away Cuz I'm here for you Please don't walk away, Please tell me you'll stay, stay  Use me as you will Pull my strings just for a thrill And I know I'll be ok Though my skies are turning gray  I will never let you fall I'll stand up with you forever I'll be there for you through it all Even if saving you sends me to heaven"
Incubus,vampireerotica,"Your heart burns for love My soul burns for blood I'll take you, I'll brake you I'll crush you, I'll brake you If you want me, I'll need you I'll kill you, feed from you I'll take you down that road that leads to destruction  Ref. Come and take a walk with me Where the angels fear to tread Kiss the flame Feel the pain In the furnace of our love  I can't feed my hunger Your youth makes me younger I'll hurt you, desert you Turn your dreams to nightmares I'll cheat you, I'll eat you I'll maim you, I'll drain you Come to me, come to me To the dark side where love sleeps  Ref. Come and take a walk with me Where the angels fear to tread Kiss the flame Feel the pain In the furnace of our love Come along and talk to me Sing a sweet song of despair In your body hear the song In the furnace of our love  I'll hurt you, you love me I'll scratch you, I'll cut you You'll kiss me, then miss me I laugh at your torment I'll have you, and own you Be hard and cold to you I'll be your dark angel I'll be your worst nightmare  Ref. Come and take a walk with me Where the angels fear to tread Kiss the flame Feel the pain In the furnace of our love Come along and talk to me Sing a sweet song of despair In your body hear the song In the furnace of our love"
Taylor Swift,lastkiss,"I still remember the look on your face Lit through the darkness, at 1: 58 The words that you whispered for just us to know You told me you loved me, so why did you go away?  If I do recall now, the smell of the rain Fresh on the pavement, I ran off the plane That July ninth The beat of your heart It jumps through your shirt I can still feel your arms  But now I'll go sit on the floor wearing your clothes All that I know is I don't know How to be something you miss...  I never thought we'd have our last kiss Never imagined we'd end like this Your name, forever the name on my lips  I do remember the swing in your step The life of the party, you're showing off again And I roll my eyes, and you pull me in I'm not much for dancing, but for you I did  Because I love your handshake meeting my father I love how you walk with your hands in your pockets How you kissed me when I was in the middle of saying something There's not a day I don't miss those rude interruptions  And I'll go sit on the floor wearing your clothes And all that I know is I don't know How to be something you miss...  I never thought we'd have our last kiss Never imagined we'd end like this Your name, forever the name on my lips  So I'll watch your life in pictures Like I used to watch you sleep And I feel you forget me, like I used to feel you breathe And I'll keep up with our old friends Just to ask them how you are  Hope it's nice where you are  And I hope the sun shines, and it's a beautiful day And something reminds you, you wish you had stayed You can plan for a change the weather and time But I never planned on you changing your mind  So I'll go sit on the floor wearing your clothes All that I know is I don't know How to be something you miss  Never thought we'd have our last kiss I never imagined we'd end like this Your name, forever the name on my lips  Just like our last kiss  Forever the name on my lips Forever the name on my lips  Just like our last"
Incubus,outfromunder,"To resist is to piss in the wind Anyone who does will end up smelling Knowing this, why do I defy? Because my inner voice is yelling There is a fist pressing against Anyone who thinks something compelling Our intuit we're taught to deny And our soul we're told is for selling  Get out from under them Resist and multiply Get out from under precipice and see the sky Get out from under them Resist, unlearn, defy Get out from under precipice and see the sky  To resist is to piss in the wind Anyone who does will end up smelling Knowing this, why do I defy? Because my inner voice is yelling There is a fist pressing against Anyone who thinks something compelling Our intuit we're taught to deny Yes our soul we're told is for selling  Get out from under them Resist and multiply Get out from under precipice and see the sky Get out from under them Resist, unlearn, defy Get out from under precipice and see the sky  See the sky, see the sky, see the sky Resist and multiply, resist and multiply  Well get out from under them Resist and multiply Get out from under precipice and see the sky Get out from under them Resist, unlearn, defy Get out from under precipice and see the sky  See the sky, see the sky, see the sky"
Incubus,pardonme,"Pardon me while I burst Pardon me while I burst  A decade ago, I never thought I would be at twenty three On the verge of spontaneous combustion, woe is me But I guess that it comes with the territory An ominous landscape of never ending calamity I need you to hear, I need you to see That I have had all I can take And exploding seems like a definite possibility to me  So pardon me while I burst into flames I've had enough of the world and it's people's mindless games So pardon me while I burn and rise above the flame Pardon me, pardon me, I'll never be the same  Not two days ago, I was having a look in a book And I saw a picture of a guy fried up above his knees I said, ""I can relate"", â€~cause lately I've been thinking Of combustication as a welcomed vacation From the burdens of the planet Earth Like gravity, hypocrisy and the perils of being in 3 D But thinking so much differently  So pardon me while I burst into flames I've had enough of the world and it's people's mindless games So pardon me while I burn and rise above the flame Pardon me, pardon me, I'll never be the same I'll never be the same  Pardon me while I burst into flames Pardon me, pardon me, pardon me  So pardon me while I burst into flames I've had enough of the world and it's people's mindless games So pardon me while I burn and rise above the flame Pardon me, pardon me, I'll never be the same  Pardon me, I'll never be the same, yeah"
Taylor Swift,whitechristmas,I'm dreaming of a white Christmas Just like the ones I used to know Where the treetops glisten and children listen To hear sleigh bells in the snow  I'm dreaming of a white Christmas With every Christmas card I write May your days be merry and bright And may all your Christmases be white  I'm dreaming of a white Christmas Just like the ones I used to know May your days be merry and bright And may all your Christmases be white May your days be merry and bright And may all your Christmases be white
